account_id,customer_id,account_type,branch_code,open_date,balance,status
ACC000181,CUST00018,CURRENT,BR626,2024-07-08,49284.97,BLOCKED
ACC000191,CUST00019,SALARY,BR627,2021-04-26,843569.61,ACTIVE
ACC000192,CUST00019,CURRENT,BR208,2024-08-07,648840.55,ACTIVE
ACC000201,CUST00020,SALARY,BR932,2024-02-20,713602.26,ACTIVE
ACC000202,CUST00020,CURRENT,BR807,2022-08-26,109524.73,DORMANT
ACC000211,CUST00021,SAVINGS,BR677,2025-05-14,415165.45,ACTIVE
ACC000221,CUST00022,SAVINGS,BR771,2020-12-22,869923.37,BLOCKED
ACC000222,CUST00022,CURRENT,BR979,2026-01-07,167698.23,ACTIVE
ACC000231,CUST00023,CURRENT,BR769,2025-02-22,16477.43,DORMANT
ACC000241,CUST00024,SALARY,BR519,2020-11-01,483046.8,ACTIVE
ACC000251,CUST00025,SAVINGS,BR418,2018-02-27,640283.82,DORMANT
ACC000252,CUST00025,CURRENT,BR429,2018-10-25,892966.19,BLOCKED
ACC000261,CUST00026,CURRENT,BR337,2023-07-02,88414.88,DORMANT
ACC000271,CUST00027,SAVINGS,BR891,2025-06-04,235863.74,DORMANT
ACC000272,CUST00027,SAVINGS,BR946,2022-11-25,647527.81,BLOCKED
ACC000273,CUST00027,CURRENT,BR230,2020-02-07,972980.45,DORMANT
ACC000281,CUST00028,SALARY,BR559,2021-10-22,845351.44,BLOCKED
ACC000282,CUST00028,SAVINGS,BR716,2025-03-12,161670.15,BLOCKED
ACC000283,CUST00028,SALARY,BR872,2025-06-30,66730.16,BLOCKED
ACC000291,CUST00029,SALARY,BR323,2025-05-12,915331.31,ACTIVE
ACC000292,CUST00029,CURRENT,BR148,2022-11-25,619363.28,DORMANT
ACC000293,CUST00029,SALARY,BR306,2023-06-07,496177.52,BLOCKED
ACC000301,CUST00030,CURRENT,BR863,2024-02-17,668908.58,BLOCKED
ACC000302,CUST00030,SALARY,BR457,2024-05-02,916199.76,DORMANT
ACC000311,CUST00031,SALARY,BR340,2023-12-23,981626.2,BLOCKED
ACC000312,CUST00031,CURRENT,BR506,2020-01-09,667495.75,DORMANT
ACC000313,CUST00031,SALARY,BR654,2018-08-12,685807.72,BLOCKED
ACC000321,CUST00032,SAVINGS,BR320,2025-10-08,951488.85,DORMANT
ACC000322,CUST00032,CURRENT,BR597,2021-01-04,524422.75,ACTIVE
ACC000331,CUST00033,SAVINGS,BR585,2025-03-07,987889.7,ACTIVE
ACC000332,CUST00033,SAVINGS,BR409,2026-02-24,780105.31,DORMANT
ACC000341,CUST00034,SAVINGS,BR255,2018-03-20,422699.67,DORMANT
ACC000342,CUST00034,SALARY,BR979,2020-11-14,987829.53,BLOCKED
ACC000343,CUST00034,SAVINGS,BR233,2024-06-25,933084.48,ACTIVE
ACC000351,CUST00035,SAVINGS,BR558,2022-09-11,329819.53,BLOCKED
ACC000352,CUST00035,CURRENT,BR685,2023-06-13,460442.0,DORMANT
ACC000353,CUST00035,SALARY,BR727,2024-11-06,924591.58,DORMANT
ACC000361,CUST00036,SAVINGS,BR218,2025-02-10,611023.42,BLOCKED
ACC000371,CUST00037,SAVINGS,BR316,2022-11-02,639851.13,ACTIVE
ACC000372,CUST00037,SALARY,BR814,2020-06-01,292589.17,DORMANT
ACC000381,CUST00038,SAVINGS,BR309,2025-01-19,304826.82,DORMANT
ACC000382,CUST00038,SAVINGS,BR521,2022-11-06,159907.15,ACTIVE
ACC000383,CUST00038,CURRENT,BR269,2024-08-27,578917.99,ACTIVE
ACC000391,CUST00039,SALARY,BR870,2018-05-18,991602.27,ACTIVE
ACC000392,CUST00039,SALARY,BR434,2021-02-16,578434.13,ACTIVE
ACC000401,CUST00040,SAVINGS,BR800,2020-06-19,596556.09,ACTIVE
ACC000402,CUST00040,SAVINGS,BR594,2020-10-26,646946.81,BLOCKED
ACC000403,CUST00040,SALARY,BR700,2025-05-21,699597.86,ACTIVE
ACC000411,CUST00041,SALARY,BR489,2025-03-22,878318.62,ACTIVE
ACC000412,CUST00041,CURRENT,BR665,2019-11-25,201668.83,BLOCKED
ACC000413,CUST00041,SAVINGS,BR845,2023-01-06,562571.97,ACTIVE
ACC000421,CUST00042,SAVINGS,BR786,2025-06-23,878140.86,ACTIVE
ACC000422,CUST00042,CURRENT,BR149,2024-12-08,486869.75,ACTIVE
ACC000431,CUST00043,CURRENT,BR514,2021-12-23,825161.99,BLOCKED
ACC000432,CUST00043,CURRENT,BR482,2023-03-11,780089.94,ACTIVE
ACC000441,CUST00044,CURRENT,BR343,2019-07-14,479302.1,BLOCKED
ACC000442,CUST00044,SAVINGS,BR428,2019-02-06,711954.76,DORMANT
ACC000451,CUST00045,CURRENT,BR635,2020-04-12,31876.41,ACTIVE
ACC000452,CUST00045,CURRENT,BR821,2020-09-12,631269.86,ACTIVE
ACC000461,CUST00046,SALARY,BR972,2023-03-15,883540.17,ACTIVE
ACC000471,CUST00047,CURRENT,BR829,2022-12-15,782683.49,DORMANT
ACC000472,CUST00047,SAVINGS,BR616,2023-03-01,945425.59,ACTIVE
ACC000481,CUST00048,CURRENT,BR287,2022-07-18,584001.52,DORMANT
ACC000482,CUST00048,SAVINGS,BR726,2024-06-08,985640.28,DORMANT
ACC000483,CUST00048,SAVINGS,BR606,2022-06-25,667004.34,DORMANT
ACC000491,CUST00049,SAVINGS,BR725,2023-01-07,401982.27,DORMANT
ACC000492,CUST00049,SALARY,BR640,2026-02-08,271489.14,BLOCKED
ACC000501,CUST00050,SAVINGS,BR369,2025-07-03,520554.56,DORMANT
ACC000502,CUST00050,SALARY,BR210,2020-05-09,446406.41,ACTIVE
ACC000503,CUST00050,SAVINGS,BR357,2020-09-01,353322.79,DORMANT
ACC000511,CUST00051,CURRENT,BR290,2020-02-16,972925.82,DORMANT
ACC000512,CUST00051,CURRENT,BR292,2018-12-08,768746.54,ACTIVE
ACC000513,CUST00051,CURRENT,BR727,2021-06-06,835800.6,ACTIVE
ACC000521,CUST00052,SAVINGS,BR560,2025-05-20,700508.15,BLOCKED
ACC000522,CUST00052,SAVINGS,BR123,2020-08-02,237071.08,BLOCKED
ACC000523,CUST00052,SAVINGS,BR312,2021-09-05,960558.61,DORMANT
ACC000531,CUST00053,SAVINGS,BR775,2023-07-01,697524.68,DORMANT
ACC000532,CUST00053,SALARY,BR510,2019-07-31,891177.64,ACTIVE
ACC000541,CUST00054,SAVINGS,BR970,2022-04-20,440325.92,BLOCKED
ACC000542,CUST00054,CURRENT,BR329,2024-02-14,310899.41,ACTIVE
ACC000543,CUST00054,CURRENT,BR764,2021-11-01,376668.06,DORMANT
ACC000551,CUST00055,SALARY,BR916,2025-02-27,604920.42,DORMANT
ACC000561,CUST00056,CURRENT,BR350,2021-03-07,102130.24,BLOCKED
ACC000562,CUST00056,SALARY,BR288,2026-03-28,898938.85,ACTIVE
ACC000563,CUST00056,SAVINGS,BR622,2021-03-13,104615.7,ACTIVE
ACC000571,CUST00057,SALARY,BR699,2025-11-09,25929.5,BLOCKED
ACC000581,CUST00058,SALARY,BR461,2020-11-16,277222.21,BLOCKED
ACC000582,CUST00058,SALARY,BR567,2021-11-23,633443.06,DORMANT
ACC000591,CUST00059,SAVINGS,BR262,2018-12-11,369589.9,ACTIVE
ACC000601,CUST00060,SALARY,BR928,2021-11-03,258295.51,DORMANT
ACC000611,CUST00061,SAVINGS,BR523,2018-04-02,503044.33,ACTIVE
ACC000621,CUST00062,SALARY,BR385,2020-11-20,137893.48,DORMANT
ACC000622,CUST00062,SALARY,BR112,2020-08-27,192539.86,BLOCKED
ACC000623,CUST00062,CURRENT,BR621,2023-05-20,992127.26,ACTIVE
ACC000631,CUST00063,SALARY,BR117,2021-07-08,800119.74,DORMANT
ACC000632,CUST00063,SAVINGS,BR306,2024-02-12,31565.24,DORMANT
ACC000633,CUST00063,CURRENT,BR204,2024-11-23,38826.34,BLOCKED
ACC000641,CUST00064,SAVINGS,BR110,2019-08-19,201595.41,ACTIVE
ACC000651,CUST00065,CURRENT,BR920,2023-09-21,123759.02,ACTIVE
ACC000661,CUST00066,SALARY,BR175,2019-12-12,907409.79,DORMANT
ACC000671,CUST00067,SALARY,BR101,2023-01-12,6493.2,BLOCKED
ACC000681,CUST00068,CURRENT,BR565,2025-07-24,979162.38,ACTIVE
ACC000682,CUST00068,CURRENT,BR575,2020-10-07,54808.07,ACTIVE
ACC000691,CUST00069,SAVINGS,BR236,2022-09-18,872124.83,ACTIVE
ACC000692,CUST00069,CURRENT,BR778,2021-10-25,965298.12,ACTIVE
ACC000701,CUST00070,CURRENT,BR851,2020-04-23,29249.05,ACTIVE
ACC000702,CUST00070,SAVINGS,BR348,2018-05-18,79305.66,ACTIVE
ACC000711,CUST00071,SALARY,BR822,2019-10-21,746515.2,BLOCKED
ACC000712,CUST00071,SALARY,BR548,2024-07-04,576705.31,DORMANT
ACC000713,CUST00071,CURRENT,BR115,2023-12-15,59337.97,ACTIVE
ACC000721,CUST00072,SALARY,BR139,2023-01-15,98312.11,BLOCKED
ACC000722,CUST00072,SALARY,BR535,2020-04-28,428270.91,ACTIVE
ACC000723,CUST00072,CURRENT,BR477,2024-01-09,67686.24,DORMANT
ACC000731,CUST00073,CURRENT,BR611,2020-02-28,6481.4,BLOCKED
ACC000741,CUST00074,SAVINGS,BR379,2021-11-01,897348.88,ACTIVE
ACC000742,CUST00074,SAVINGS,BR482,2021-07-08,716607.48,ACTIVE
ACC000751,CUST00075,SALARY,BR463,2022-02-22,577704.19,ACTIVE
ACC000752,CUST00075,CURRENT,BR385,2018-09-09,305700.59,BLOCKED
ACC000761,CUST00076,SALARY,BR378,2024-03-21,154861.56,ACTIVE
ACC000762,CUST00076,SAVINGS,BR962,2018-11-16,536176.77,DORMANT
ACC000763,CUST00076,SALARY,BR330,2023-01-24,219290.82,DORMANT
ACC000771,CUST00077,SAVINGS,BR941,2022-09-15,349550.49,DORMANT
ACC000772,CUST00077,CURRENT,BR149,2021-06-29,300153.35,ACTIVE
ACC000773,CUST00077,CURRENT,BR693,2020-05-16,82958.76,DORMANT
ACC000781,CUST00078,SAVINGS,BR666,2024-10-18,834981.65,ACTIVE
ACC000782,CUST00078,SALARY,BR351,2021-01-15,983660.88,ACTIVE
ACC000791,CUST00079,SAVINGS,BR992,2022-12-23,21752.66,DORMANT
ACC000792,CUST00079,SALARY,BR322,2022-07-17,798458.01,BLOCKED
ACC000801,CUST00080,CURRENT,BR580,2021-06-12,276206.64,BLOCKED
ACC000811,CUST00081,SALARY,BR984,2019-07-21,574981.66,BLOCKED
ACC000812,CUST00081,SAVINGS,BR421,2018-11-05,262613.79,DORMANT
ACC000821,CUST00082,SAVINGS,BR458,2018-06-17,294133.81,ACTIVE
ACC000822,CUST00082,SALARY,BR134,2019-07-03,425386.96,BLOCKED
ACC000823,CUST00082,CURRENT,BR569,2023-06-15,629264.5,BLOCKED
ACC000831,CUST00083,CURRENT,BR297,2023-11-28,15872.93,ACTIVE
ACC000841,CUST00084,SAVINGS,BR991,2018-09-14,509710.4,DORMANT
ACC000842,CUST00084,SAVINGS,BR329,2023-01-12,85057.18,BLOCKED
ACC000851,CUST00085,CURRENT,BR446,2022-12-12,736064.03,ACTIVE
ACC000861,CUST00086,SAVINGS,BR316,2025-03-06,582123.72,ACTIVE
ACC000862,CUST00086,SALARY,BR269,2023-04-09,481399.77,DORMANT
ACC000863,CUST00086,CURRENT,BR209,2021-04-09,214440.75,ACTIVE
ACC000871,CUST00087,SAVINGS,BR882,2025-08-23,649309.22,BLOCKED
ACC000881,CUST00088,CURRENT,BR798,2023-05-21,391578.62,DORMANT
ACC000882,CUST00088,SAVINGS,BR934,2024-11-26,828556.04,DORMANT
ACC000883,CUST00088,SAVINGS,BR529,2020-07-24,485161.14,ACTIVE
ACC000891,CUST00089,CURRENT,BR238,2022-09-05,933002.58,BLOCKED
ACC000892,CUST00089,SAVINGS,BR714,2019-08-25,178914.84,BLOCKED
ACC000901,CUST00090,CURRENT,BR556,2025-07-31,608673.47,BLOCKED
ACC000902,CUST00090,SALARY,BR698,2023-10-03,906242.45,ACTIVE
ACC000903,CUST00090,CURRENT,BR216,2018-06-08,537459.01,ACTIVE
ACC000911,CUST00091,SALARY,BR281,2018-10-27,360504.29,BLOCKED
ACC000921,CUST00092,SALARY,BR280,2023-02-22,395515.41,BLOCKED
ACC000931,CUST00093,CURRENT,BR910,2023-02-01,634808.51,ACTIVE
ACC000932,CUST00093,SAVINGS,BR556,2019-10-23,788913.96,DORMANT
ACC000933,CUST00093,SAVINGS,BR657,2023-09-01,600657.52,ACTIVE
ACC000941,CUST00094,SALARY,BR782,2018-07-15,165924.31,DORMANT
ACC000942,CUST00094,SALARY,BR449,2022-05-26,157491.31,DORMANT
ACC000951,CUST00095,SAVINGS,BR249,2026-03-08,681146.36,DORMANT
ACC000952,CUST00095,SAVINGS,BR230,2025-01-03,142696.24,DORMANT
ACC000953,CUST00095,SAVINGS,BR846,2023-07-26,514044.56,DORMANT
ACC000961,CUST00096,SALARY,BR553,2023-02-07,139940.65,DORMANT
ACC000962,CUST00096,CURRENT,BR713,2024-04-21,160727.98,BLOCKED
ACC000963,CUST00096,SAVINGS,BR620,2023-04-11,377790.46,BLOCKED
ACC000971,CUST00097,SALARY,BR872,2019-09-13,379039.05,ACTIVE
ACC000972,CUST00097,CURRENT,BR494,2019-02-26,367509.93,BLOCKED
ACC000981,CUST00098,CURRENT,BR248,2023-09-07,496448.06,DORMANT
ACC000991,CUST00099,CURRENT,BR929,2025-04-13,816296.54,DORMANT
ACC001001,CUST00100,SALARY,BR833,2022-08-03,229220.75,ACTIVE
ACC001002,CUST00100,SAVINGS,BR466,2018-10-25,517438.0,ACTIVE
ACC001011,CUST00101,SAVINGS,BR551,2024-11-28,494375.23,DORMANT
ACC001012,CUST00101,SALARY,BR621,2025-06-01,289124.64,DORMANT
ACC001021,CUST00102,SAVINGS,BR450,2024-08-04,717075.8,DORMANT
ACC001031,CUST00103,SAVINGS,BR741,2020-12-09,367131.07,BLOCKED
ACC001032,CUST00103,CURRENT,BR951,2026-04-10,690601.63,DORMANT
ACC001041,CUST00104,SALARY,BR408,2019-01-04,109146.48,ACTIVE
ACC001042,CUST00104,CURRENT,BR912,2019-09-23,941754.69,DORMANT
ACC001043,CUST00104,SALARY,BR665,2018-11-14,894510.23,ACTIVE
ACC001051,CUST00105,CURRENT,BR771,2018-04-05,114943.0,BLOCKED
ACC001052,CUST00105,SAVINGS,BR892,2021-07-02,508741.65,BLOCKED
ACC001053,CUST00105,CURRENT,BR735,2022-04-23,243378.16,BLOCKED
ACC001061,CUST00106,SAVINGS,BR596,2024-03-29,960426.31,BLOCKED
ACC001071,CUST00107,SALARY,BR969,2020-12-25,148341.21,ACTIVE
ACC001081,CUST00108,SALARY,BR935,2022-08-24,226703.13,DORMANT
ACC001091,CUST00109,SAVINGS,BR699,2025-07-19,544137.94,BLOCKED
ACC001092,CUST00109,SALARY,BR220,2020-10-02,325998.18,BLOCKED
ACC001093,CUST00109,SAVINGS,BR607,2022-10-09,54095.57,BLOCKED
ACC001101,CUST00110,CURRENT,BR594,2024-01-18,721907.46,BLOCKED
ACC001111,CUST00111,SAVINGS,BR926,2020-10-17,773010.96,BLOCKED
ACC001112,CUST00111,SALARY,BR978,2018-09-07,178250.2,BLOCKED
ACC001113,CUST00111,SALARY,BR898,2024-02-13,286317.22,ACTIVE
ACC001121,CUST00112,SAVINGS,BR614,2025-01-12,285658.87,ACTIVE
ACC001131,CUST00113,SALARY,BR747,2021-04-11,559767.06,DORMANT
ACC001132,CUST00113,SAVINGS,BR828,2019-05-18,895141.4,ACTIVE
ACC001141,CUST00114,CURRENT,BR971,2024-11-23,108550.62,ACTIVE
ACC001151,CUST00115,SALARY,BR943,2025-11-14,678154.79,ACTIVE
ACC001161,CUST00116,CURRENT,BR826,2022-06-14,490005.54,ACTIVE
ACC001171,CUST00117,CURRENT,BR970,2022-04-01,534885.46,ACTIVE
ACC001172,CUST00117,SALARY,BR726,2024-08-10,878025.01,BLOCKED
ACC001181,CUST00118,CURRENT,BR509,2020-05-23,788863.3,DORMANT
ACC001191,CUST00119,SALARY,BR199,2024-03-31,699950.91,ACTIVE
ACC001192,CUST00119,CURRENT,BR760,2024-02-20,574012.01,BLOCKED
ACC001201,CUST00120,SALARY,BR266,2020-06-10,776471.15,BLOCKED
ACC001202,CUST00120,SALARY,BR146,2025-04-02,496050.14,BLOCKED
ACC001211,CUST00121,SALARY,BR586,2025-09-21,346286.94,BLOCKED
ACC001212,CUST00121,CURRENT,BR805,2026-01-21,457979.01,BLOCKED
ACC001213,CUST00121,CURRENT,BR848,2019-10-12,184828.62,BLOCKED
ACC001221,CUST00122,CURRENT,BR617,2020-06-19,394743.47,BLOCKED
ACC001222,CUST00122,SAVINGS,BR157,2019-06-27,60464.82,ACTIVE
ACC001223,CUST00122,SALARY,BR185,2026-02-01,412307.8,DORMANT
ACC001231,CUST00123,CURRENT,BR670,2019-01-28,18649.21,DORMANT
ACC001232,CUST00123,CURRENT,BR197,2024-07-17,692815.78,ACTIVE
ACC001241,CUST00124,SAVINGS,BR652,2020-07-11,734971.83,ACTIVE
ACC001242,CUST00124,SAVINGS,BR941,2025-10-15,251603.5,ACTIVE
ACC001243,CUST00124,CURRENT,BR642,2019-01-16,946221.53,DORMANT
ACC001251,CUST00125,CURRENT,BR272,2018-02-24,533576.13,ACTIVE
ACC001261,CUST00126,SALARY,BR135,2025-07-15,984260.75,BLOCKED
ACC001262,CUST00126,SAVINGS,BR928,2023-03-08,187045.61,BLOCKED
ACC001271,CUST00127,SAVINGS,BR297,2021-09-08,561796.08,ACTIVE
ACC001272,CUST00127,SALARY,BR771,2025-02-03,268304.9,ACTIVE
ACC001281,CUST00128,SALARY,BR347,2019-09-23,475502.61,DORMANT
ACC001282,CUST00128,SAVINGS,BR573,2021-04-04,277323.56,ACTIVE
ACC001283,CUST00128,CURRENT,BR945,2023-04-09,283636.36,DORMANT
ACC001291,CUST00129,SAVINGS,BR308,2020-11-25,465264.86,DORMANT
ACC001292,CUST00129,CURRENT,BR865,2023-02-24,291408.77,ACTIVE
ACC001293,CUST00129,SAVINGS,BR464,2026-01-31,90619.45,BLOCKED
ACC001301,CUST00130,SALARY,BR264,2024-04-25,882471.11,BLOCKED
ACC001302,CUST00130,SAVINGS,BR205,2025-05-20,574908.62,ACTIVE
ACC001311,CUST00131,SAVINGS,BR679,2025-10-03,372179.5,ACTIVE
ACC001321,CUST00132,CURRENT,BR334,2019-05-18,385254.9,BLOCKED
ACC001322,CUST00132,CURRENT,BR850,2025-03-14,632023.47,DORMANT
ACC001323,CUST00132,CURRENT,BR105,2018-10-14,281148.43,ACTIVE
ACC001331,CUST00133,CURRENT,BR463,2020-10-07,973488.34,DORMANT
ACC001332,CUST00133,CURRENT,BR382,2025-04-08,489737.02,DORMANT
ACC001333,CUST00133,CURRENT,BR588,2021-08-11,119477.99,ACTIVE
ACC001341,CUST00134,CURRENT,BR103,2023-05-22,33069.17,BLOCKED
ACC001342,CUST00134,SALARY,BR215,2019-08-06,177642.29,BLOCKED
ACC001351,CUST00135,SALARY,BR704,2023-07-30,7585.63,ACTIVE
ACC001352,CUST00135,SALARY,BR830,2021-03-13,479429.96,BLOCKED
ACC001353,CUST00135,CURRENT,BR565,2019-09-12,452897.39,BLOCKED
ACC001361,CUST00136,CURRENT,BR480,2020-03-06,562763.69,DORMANT
ACC001371,CUST00137,CURRENT,BR149,2024-05-11,31861.29,ACTIVE
ACC001372,CUST00137,SAVINGS,BR606,2025-10-06,581499.08,ACTIVE
ACC001373,CUST00137,SALARY,BR201,2025-12-23,112865.33,DORMANT
ACC001381,CUST00138,SAVINGS,BR530,2021-07-21,826332.95,ACTIVE
ACC001382,CUST00138,SALARY,BR377,2022-10-23,659977.33,BLOCKED
ACC001391,CUST00139,CURRENT,BR613,2024-04-20,371949.69,ACTIVE
ACC001401,CUST00140,SALARY,BR121,2025-04-09,841700.9,ACTIVE
ACC001402,CUST00140,SALARY,BR353,2023-11-02,288826.66,DORMANT
ACC001411,CUST00141,SAVINGS,BR765,2023-01-12,584313.12,DORMANT
ACC001412,CUST00141,SALARY,BR272,2024-11-23,40928.63,DORMANT
ACC001421,CUST00142,SALARY,BR848,2023-12-15,376949.49,ACTIVE
ACC001422,CUST00142,CURRENT,BR479,2022-08-02,195846.7,DORMANT
ACC001423,CUST00142,CURRENT,BR840,2022-04-21,17091.43,DORMANT
ACC001431,CUST00143,CURRENT,BR628,2023-08-11,821085.87,ACTIVE
ACC001441,CUST00144,SALARY,BR717,2019-12-02,511380.36,ACTIVE
ACC001451,CUST00145,SALARY,BR305,2019-03-23,756947.05,DORMANT
ACC001452,CUST00145,CURRENT,BR173,2018-03-26,155482.51,DORMANT
ACC001453,CUST00145,CURRENT,BR217,2019-07-07,724184.77,DORMANT
ACC001461,CUST00146,SAVINGS,BR760,2025-03-30,337579.56,ACTIVE
ACC001471,CUST00147,CURRENT,BR238,2024-10-15,235607.95,ACTIVE
ACC001481,CUST00148,CURRENT,BR134,2019-05-29,559609.94,BLOCKED
ACC001482,CUST00148,SAVINGS,BR924,2019-01-19,229167.79,ACTIVE
ACC001483,CUST00148,CURRENT,BR256,2020-07-17,459785.09,ACTIVE
ACC001491,CUST00149,SAVINGS,BR929,2022-08-15,1625.65,BLOCKED
ACC001492,CUST00149,SALARY,BR495,2025-04-28,515848.71,ACTIVE
ACC001501,CUST00150,SAVINGS,BR630,2025-06-12,247186.49,ACTIVE
ACC001502,CUST00150,SALARY,BR755,2025-07-17,882259.84,DORMANT
ACC001503,CUST00150,CURRENT,BR950,2018-10-20,224660.8,DORMANT
ACC001511,CUST00151,SALARY,BR634,2019-09-24,31212.62,BLOCKED
ACC001512,CUST00151,SALARY,BR159,2019-09-03,526411.35,DORMANT
ACC001513,CUST00151,SAVINGS,BR332,2020-06-28,312390.41,ACTIVE
ACC001521,CUST00152,SALARY,BR924,2023-05-15,442062.3,ACTIVE
ACC001522,CUST00152,CURRENT,BR838,2023-11-13,786721.21,ACTIVE
ACC001523,CUST00152,SAVINGS,BR631,2025-05-03,479684.78,DORMANT
ACC001531,CUST00153,SALARY,BR813,2026-01-20,616030.27,DORMANT
ACC001532,CUST00153,SAVINGS,BR744,2020-03-25,32866.97,DORMANT
ACC001541,CUST00154,SALARY,BR521,2025-11-14,182668.66,BLOCKED
ACC001542,CUST00154,SALARY,BR793,2024-09-29,967567.03,ACTIVE
ACC001543,CUST00154,CURRENT,BR526,2024-03-04,832639.31,DORMANT
ACC001551,CUST00155,CURRENT,BR826,2021-04-05,188956.35,ACTIVE
ACC001552,CUST00155,SAVINGS,BR149,2020-09-01,636245.73,ACTIVE
ACC001553,CUST00155,CURRENT,BR486,2021-05-15,780518.75,DORMANT
ACC001561,CUST00156,SALARY,BR217,2023-06-21,54489.18,DORMANT
ACC001562,CUST00156,SALARY,BR579,2021-12-25,261601.72,ACTIVE
ACC001571,CUST00157,CURRENT,BR479,2025-09-17,797060.95,BLOCKED
ACC001581,CUST00158,CURRENT,BR561,2020-03-06,454415.72,BLOCKED
ACC001582,CUST00158,SALARY,BR825,2024-02-22,753391.76,BLOCKED
ACC001583,CUST00158,CURRENT,BR822,2020-04-23,351047.97,ACTIVE
ACC001591,CUST00159,SAVINGS,BR880,2023-06-23,984969.4,DORMANT
ACC001592,CUST00159,SALARY,BR910,2018-06-18,125723.3,BLOCKED
ACC001593,CUST00159,SALARY,BR809,2023-07-12,42745.51,ACTIVE
ACC001601,CUST00160,SAVINGS,BR344,2026-04-11,769130.39,DORMANT
ACC001611,CUST00161,SALARY,BR867,2025-02-22,767508.96,DORMANT
ACC001621,CUST00162,SALARY,BR541,2021-02-13,405402.4,BLOCKED
ACC001622,CUST00162,SALARY,BR899,2021-01-03,820231.89,BLOCKED
ACC001631,CUST00163,SALARY,BR970,2019-04-14,696321.21,ACTIVE
ACC001632,CUST00163,SAVINGS,BR973,2018-07-03,793939.26,DORMANT
ACC001633,CUST00163,SALARY,BR686,2018-03-21,282781.87,DORMANT
ACC001641,CUST00164,SAVINGS,BR504,2024-01-08,478634.29,ACTIVE
